tweet,sentiment_class,user,sex,hour_of_day,total_comments,total_likes,total_impressions,tweet_length,verified_user,reply_to_verified,primary_topic,secondary_topic
Just had the most amazing coffee this morning! ☕ Perfect way to start the day,positive,@coffee_lover23,female,8,12,89,2341,71,false,false,food_drinks,arts_culture
Stuck in traffic again... this commute is killing me 😤,negative,@daily_commuter,male,7,3,15,892,54,false,false,transportation,personal_development
The new restaurant downtown has incredible pasta! Highly recommend 🍝,positive,@foodie_adventures,female,19,8,156,4523,68,true,false,food_drinks,personal_development
Can't believe how rude some people are at the grocery store today,negative,@suburban_mom,female,14,5,23,1567,65,false,false,shopping_retail,personal_development
Beautiful sunset tonight! Nature never fails to amaze me 🌅,positive,@nature_photographer,male,20,18,234,6789,58,true,false,nature_environment,personal_development
This weather is absolutely perfect for a walk in the park,positive,@weekend_walker,female,16,2,45,1234,56,false,false,nature_environment,food_drinks
Another meeting that could have been an email... corporate life 🙄,negative,@office_worker_99,male,10,15,78,2345,60,false,false,work_business,communication
My dog just learned a new trick! So proud of him 🐕,positive,@dog_parent_life,female,18,7,92,2876,49,false,false,pets_animals,personal_development
The book I'm reading is absolutely captivating! Can't put it down,positive,@bookworm_reader,female,22,4,67,1987,60,false,false,entertainment,personal_development
Traffic lights are broken downtown. Complete chaos out there,negative,@city_reporter,male,12,9,34,5432,59,true,false,transportation,personal_development
Just finished a great workout session! Feeling energized 💪,positive,@fitness_enthusiast,male,6,11,145,3456,54,false,false,work_business,food_drinks
The service at this restaurant is incredibly slow tonight,negative,@dinner_critic,female,20,6,28,1876,52,false,false,food_drinks,shopping_retail
My favorite band just announced a new tour! So excited 🎵,positive,@music_fan_2023,female,15,23,189,4567,54,false,false,entertainment,personal_development
Rain ruining my outdoor plans again... typical weekend weather,negative,@outdoor_adventurer,male,11,4,19,876,58,false,false,nature_environment,food_drinks
This new podcast episode is absolutely brilliant! Must listen,positive,@podcast_addict,male,21,8,73,2134,59,false,false,entertainment,personal_development
Long lines everywhere at the mall today. Holiday shopping madness,negative,@holiday_shopper,female,13,7,31,1543,64,false,false,shopping_retail,seasonal_holidays
My garden is finally blooming! Spring is here 🌸,positive,@green_thumb_gardener,female,17,12,98,2765,44,false,false,nature_environment,personal_development
The customer support was actually helpful today. Surprisingly good,positive,@tech_user_help,male,14,3,42,1234,65,false,false,community_social,shopping_retail
Another flight delay... airports are the worst sometimes,negative,@frequent_flyer,male,9,18,67,3421,52,true,false,transportation,personal_development
Just adopted a rescue cat! She's already settled in perfectly 🐱,positive,@animal_lover_123,female,19,25,187,5432,60,false,false,pets_animals,personal_development
The new superhero movie is absolutely incredible! Best one yet,positive,@movie_buff_critic,male,22,34,298,7654,61,true,false,entertainment,personal_development
Wifi is down again at the coffee shop. So frustrating,negative,@remote_worker_life,female,10,8,24,1345,51,false,false,food_drinks,technology
My grandmother's homemade cookies are the best in the world 🍪,positive,@family_traditions,female,16,6,78,2134,60,false,false,food_drinks,family_relationships
Construction noise starting at 6am again. No sleep for anyone,negative,@early_riser_not,male,6,12,45,1876,58,false,false,arts_culture,health_wellness
This documentary about ocean life is absolutely fascinating,positive,@documentary_fan,female,21,9,89,2543,55,false,false,entertainment,personal_development
The grocery store was out of everything I needed today,negative,@grocery_shopper_mom,female,15,4,18,987,52,false,false,shopping_retail,personal_development
My nephew just said his first word! Family moments are precious,positive,@proud_aunt_uncle,female,18,15,123,3456,58,false,false,family_relationships,personal_development
The concert last night was absolutely phenomenal! Worth every penny,positive,@live_music_lover,male,23,21,176,4567,64,false,false,entertainment,personal_development
Stuck behind slow drivers on the highway again. Why today?,negative,@highway_commuter,male,8,6,29,1234,56,false,false,transportation,personal_development
This art exhibition is truly inspiring! Creativity at its finest,positive,@art_gallery_visitor,female,14,11,92,2876,59,true,false,arts_culture,food_drinks
My phone battery died right when I needed GPS directions,negative,@tech_dependent_user,male,12,7,33,1543,54,false,false,technology,communication
The farmers market has the freshest produce! Supporting local 🥕,positive,@local_food_supporter,female,9,8,67,2134,62,false,false,food_drinks,community_social
Another package delivery attempt while I'm at work. Timing!,negative,@online_shopper_woes,female,13,5,21,876,59,false,false,transportation,work_business
My students did amazing on their presentations today! So proud,positive,@teacher_life_daily,female,15,18,134,3987,58,false,false,education,work_business
The new pizza place has terrible crust. Not going back,negative,@pizza_connoisseur,male,19,9,42,1765,53,false,false,food_drinks,personal_development
Just finished reading an incredible mystery novel! Plot twists everywhere,positive,@mystery_book_fan,female,22,12,87,2543,68,false,false,entertainment,personal_development
The gym was overcrowded tonight. New Year's resolution crowd,negative,@regular_gym_goer,male,18,14,56,2134,61,false,false,personal_development,personal_development
My daughter's first piano recital was absolutely beautiful 🎹,positive,@piano_parent_proud,female,16,19,156,4321,58,false,false,family_relationships,personal_development
The weather app was completely wrong about today's forecast,negative,@weather_watcher,male,11,8,34,1234,57,false,false,nature_environment,food_drinks
This hiking trail offers the most breathtaking views! Nature therapy,positive,@mountain_hiker,male,7,16,198,5432,63,false,false,health_wellness,nature_environment
The ice cream shop ran out of my favorite flavor again,negative,@dessert_enthusiast,female,20,4,17,765,52,false,false,food_drinks,personal_development
My coworker brought homemade brownies to share! Office kindness,positive,@office_team_player,female,14,7,89,2345,59,false,false,work_business,food_drinks
The bus was late again this morning. Public transit reliability,negative,@public_transit_user,male,7,11,38,1456,58,false,false,transportation,politics_government
This cooking class taught me amazing new techniques! Skill building,positive,@culinary_student,female,19,13,102,3456,64,false,false,food_drinks,technology
My neighbor's music is way too loud again tonight,negative,@quiet_neighborhood,male,23,6,27,987,47,false,false,entertainment,community_social
The cherry blossoms are in full bloom! Spring perfection 🌸,positive,@seasonal_observer,female,17,14,187,4567,55,false,false,nature_environment,personal_development
The restaurant forgot half of our order. Service quality declining,negative,@dining_experience,male,20,8,41,1876,59,false,false,food_drinks,shopping_retail
My son just graduated with honors! Proudest parent moment,positive,@graduation_parent,female,18,28,245,6789,52,false,false,family_relationships,personal_development
The new coffee blend at my favorite café is absolutely perfect,positive,@coffee_connoisseur,male,8,9,76,2134,60,false,false,food_drinks,finance_economy
Another spam call interrupting my important meeting today,negative,@business_professional,female,10,5,23,1234,53,true,false,work_business,communication
This street festival has incredible food trucks! Community celebration,positive,@local_events_fan,male,13,17,123,3987,65,false,false,food_drinks,seasonal_holidays
The parking meter ate my quarters and gave no time,negative,@downtown_parker,female,12,7,31,1345,48,false,false,transportation,nature_environment
My cat finally learned to use the new scratching post 🐱,positive,@cat_owner_victory,female,16,8,89,2456,51,false,false,pets_animals,personal_development
The construction project is months behind schedule again,negative,@city_planning_watcher,male,14,12,45,2134,52,true,false,home_lifestyle,science_research
This volunteer work at the shelter is incredibly rewarding,positive,@community_volunteer,female,11,15,134,4321,56,false,false,work_business,community_social
The movie theater's sound system was broken during the film,negative,@cinema_experience,male,21,9,38,1567,58,false,false,entertainment,food_drinks
My garden tomatoes are finally ripe! Homegrown satisfaction 🍅,positive,@backyard_gardener,female,17,11,98,2876,54,false,false,nature_environment,food_drinks
The internet connection keeps dropping during video calls,negative,@remote_meeting_host,male,9,13,47,1987,54,false,false,technology,communication
This charity run raised so much money for a great cause!,positive,@charity_runner_2023,female,8,22,189,5432,54,false,false,community_social,food_drinks
The grocery store checkout line moved incredibly slowly today,negative,@efficient_shopper,male,15,6,24,1234,59,false,false,shopping_retail,personal_development
My nephew's soccer team won their championship game! Victory!,positive,@soccer_aunt_supporter,female,16,18,156,4123,58,false,false,family_relationships,sports_recreation
The air conditioning broke down on the hottest day possible,negative,@summer_heat_sufferer,male,14,11,52,2345,59,false,false,personal_development,personal_development
This photography workshop improved my skills tremendously,positive,@amateur_photographer,female,19,9,87,2654,54,false,false,work_business,arts_culture
The delivery driver left my package in the rain again,negative,@package_recipient,female,13,8,35,1456,51,false,false,transportation,nature_environment
My dog's new haircut makes him look absolutely adorable 🐕,positive,@pet_grooming_fan,male,18,12,123,3456,56,false,false,pets_animals,personal_development
The train was cancelled without any prior announcement today,negative,@daily_rail_commuter,male,7,15,63,2134,57,false,false,transportation,nature_environment
This farmers market has the most delicious fresh bread!,positive,@artisan_bread_lover,female,10,7,78,2345,56,false,false,food_drinks,personal_development
My laptop crashed right before saving my important document,negative,@tech_mishap_victim,male,22,9,41,1567,59,false,false,technology,personal_development
The community theater production was absolutely outstanding tonight,positive,@local_theater_fan,female,20,16,134,4321,64,false,false,entertainment,food_drinks
The restaurant's new menu has removed all my favorite dishes,negative,@regular_customer_sad,male,19,8,33,1876,59,false,false,food_drinks,personal_development
My daughter just learned to ride her bike! Milestone moment 🚲,positive,@parent_milestone_joy,female,16,21,187,4567,57,false,false,family_relationships,personal_development
The parking garage was full when I needed it most,negative,@urban_driver_stress,male,12,6,28,1234,47,false,false,transportation,nature_environment
This yoga class helped me find my inner peace today,positive,@mindfulness_seeker,female,18,11,89,2876,50,false,false,health_wellness,education
The customer service representative was incredibly rude today,negative,@service_experience,male,14,12,45,1987,58,false,false,work_business,shopping_retail
My favorite author just released a new book! Reading excitement 📚,positive,@avid_reader_fan,female,21,13,98,3456,62,false,false,entertainment,personal_development
The construction noise starts earlier every single morning,negative,@noise_pollution_victim,male,6,8,37,1543,55,false,false,arts_culture,home_lifestyle
This cooking experiment turned out better than expected!,positive,@kitchen_experimenter,female,19,9,76,2134,54,false,false,food_drinks,science_research
The automated phone system kept me on hold forever,negative,@phone_system_hater,male,11,7,32,1345,49,false,false,technology,communication
My son's art project won first place! Creative talent shining,positive,@art_contest_parent,female,15,17,145,4123,58,false,false,family_relationships,arts_culture
The coffee shop ran out of oat milk again today,negative,@alternative_milk_user,female,8,5,21,876,43,false,false,food_drinks,finance_economy
This sunset over the lake is absolutely breathtaking tonight 🌅,positive,@lakeside_observer,male,20,19,234,5678,61,false,false,nature_environment,food_drinks
My car broke down in the worst possible location,negative,@automotive_troubles,male,16,11,48,2134,44,false,false,transportation,pets_animals
The local bookstore has such a cozy reading atmosphere,positive,@bookstore_wanderer,female,14,8,87,2543,52,false,false,entertainment,shopping_retail
The grocery delivery was missing three essential items again,negative,@online_grocery_user,female,17,6,29,1234,57,false,false,transportation,shopping_retail
My grandmother's secret recipe finally turned out perfect! 👵,positive,@family_recipe_keeper,female,18,14,123,3987,58,false,false,family_relationships,personal_development
The road construction detour added an hour to my commute,negative,@detour_victim_daily,male,7,9,39,1567,55,false,false,transportation,urban_infrastructure
This meditation app is helping me sleep so much better,positive,@sleep_improvement,female,22,12,98,2876,52,false,false,health_wellness,technology
The restaurant's portion sizes have gotten ridiculously small,negative,@value_conscious_diner,male,19,8,34,1876,57,false,false,food_drinks,shopping_retail
My neighbor's new puppy is the cutest thing ever! 🐶,positive,@dog_enthusiast_neighbor,female,16,15,156,4321,48,false,false,pets_animals,community_social
The elevator in my building has been broken for weeks,negative,@high_rise_resident,male,13,7,31,1234,49,false,false,home_lifestyle,urban_infrastructure
This hiking group has become my favorite weekend activity,positive,@weekend_hiker_social,female,9,11,89,2654,55,false,false,nature_environment,leisure_fun
The streaming service removed my favorite show again,negative,@streaming_subscriber,male,21,12,43,1987,51,false,false,entertainment,technology
My daughter's dance recital was absolutely magical tonight 💃,positive,@dance_recital_parent,female,19,23,189,4567,58,false,false,family_relationships,personal_development
The weather forecast was completely wrong about the rain,negative,@weather_dependent_plans,male,14,8,35,1345,54,false,false,nature_environment,food_drinks
This local farmers market supports amazing small businesses,positive,@small_business_supporter,female,11,9,76,2134,58,false,false,food_drinks,community_social
My phone's battery life is getting worse every day,negative,@tech_frustration_user,male,15,6,27,876,48,false,false,technology,communication
The community garden project is bringing neighbors together beautifully,positive,@community_organizer,female,17,13,134,3987,68,true,false,nature_environment,community_social
The bus driver was incredibly rude to elderly passengers,negative,@public_transit_observer,male,12,11,47,2134,58,false,false,transportation,personal_development
My son just got accepted to his dream college! 🎓,positive,@college_acceptance_parent,female,16,28,245,6789,48,false,false,family_relationships,education
The restaurant's online ordering system crashed during dinner rush,negative,@digital_ordering_user,male,18,9,38,1567,63,false,false,food_drinks,technology
This photography exhibit showcases incredible local talent,positive,@art_exhibition_visitor,female,14,12,98,2876,57,false,false,community_social,entertainment
The parking app charged me twice for the same spot,negative,@mobile_parking_user,male,13,7,32,1234,48,false,false,transportation,nature_environment
My cat learned to open doors and now explores everywhere 🐱,positive,@clever_cat_owner,female,20,14,123,3456,58,false,false,pets_animals,travel_tourism
The construction detour signs are confusing and poorly placed,negative,@navigation_frustrated,male,11,8,41,1876,60,false,false,home_lifestyle,transportation
This cooking class taught me to make perfect pasta sauce,positive,@culinary_skill_builder,female,19,10,87,2543,54,false,false,food_drinks,education
The movie theater's seats were uncomfortable throughout the film,negative,@cinema_comfort_critic,male,21,6,29,1345,61,false,false,entertainment,food_drinks
My garden's first harvest exceeded all my expectations! 🥕,positive,@first_time_gardener,female,17,16,145,4123,54,false,false,nature_environment,personal_development
The customer service chat bot couldn't understand my question,negative,@ai_support_struggle,male,10,9,36,1987,57,false,false,work_business,shopping_retail
This volunteer beach cleanup made a real environmental difference,positive,@environmental_volunteer,female,8,18,167,4567,62,false,false,community_social,health_wellness
The grocery store's self-checkout machines were all broken,negative,@self_service_user,male,15,7,33,1234,56,false,false,shopping_retail,personal_development
My nephew's piano performance brought tears to my eyes 🎹,positive,@music_appreciation_aunt,female,18,19,178,4321,56,false,false,family_relationships,entertainment
The internet provider's customer service was absolutely useless,negative,@connectivity_issues,male,14,13,51,2134,59,false,false,work_business,shopping_retail
This local coffee roaster makes the most amazing blends,positive,@coffee_quality_seeker,female,9,11,89,2876,54,false,false,food_drinks,community_social
The parking meter wouldn't accept my credit card payment,negative,@cashless_payment_struggle,male,12,5,24,876,53,false,false,transportation,shopping_retail
My daughter's science project won the school competition! 🔬,positive,@science_fair_parent,female,16,22,198,5432,57,false,false,pets_animals,science_research
The restaurant's new chef has completely ruined the menu,negative,@longtime_restaurant_fan,male,20,10,44,1876,55,false,false,food_drinks,personal_development
This meditation retreat provided exactly the peace I needed,positive,@wellness_seeker,female,19,15,134,3987,56,false,false,health_wellness,food_drinks
The delivery app added mysterious fees to my order,negative,@food_delivery_user,male,18,8,37,1567,48,false,false,transportation,technology
My rescue dog finally trusts me completely! Bond building 🐕,positive,@rescue_dog_parent,female,17,17,156,4123,58,false,false,pets_animals,home_lifestyle
The train delays are getting worse every single week,negative,@rail_commuter_frustrated,male,7,12,48,2134,51,false,false,transportation,nature_environment
This farmers market vendor has the sweetest strawberries ever 🍓,positive,@fresh_fruit_enthusiast,female,10,9,78,2345,62,false,false,food_drinks,personal_development
My laptop's keyboard stopped working during important presentation,negative,@tech_failure_victim,male,13,11,42,1987,63,false,false,work_business,technology
The community theater auditions went better than expected today,positive,@aspiring_actor_hopeful,female,19,14,123,3456,60,false,false,entertainment,food_drinks
The parking garage's payment system was down all afternoon,negative,@downtown_shopper,male,15,6,31,1234,57,false,false,transportation,shopping_retail
My son's soccer team showed incredible sportsmanship today ⚽,positive,@youth_sports_parent,female,16,18,167,4321,59,false,false,family_relationships,sports_recreation
The coffee shop's wifi password changed without any notice,negative,@remote_worker_nomad,male,11,7,34,1345,54,false,false,food_drinks,technology
This art class is helping me discover my creative side,positive,@artistic_beginner,female,18,12,98,2876,51,false,false,education,arts_culture
The grocery store's produce section had mostly spoiled items,negative,@fresh_food_seeker,male,14,9,38,1567,58,false,false,food_drinks,shopping_retail
My cat finally accepted the new kitten! Feline friendship 🐱,positive,@multi_cat_household,female,20,16,145,3987,54,false,false,pets_animals,personal_development
The bus broke down halfway through my important journey,negative,@public_transport_dependent,male,8,13,52,2134,54,false,false,transportation,travel_tourism
This photography workshop exceeded all my learning expectations,positive,@photography_student,female,17,11,89,2543,60,false,false,work_business,education
The restaurant's service has declined significantly this year,negative,@dining_standards_observer,male,19,8,35,1876,56,false,false,food_drinks,shopping_retail
My daughter's graduation speech was absolutely inspiring today 🎓,positive,@graduation_ceremony_parent,female,15,25,234,5678,62,false,false,family_relationships,personal_development
The parking app's GPS location was completely inaccurate,negative,@mobile_navigation_user,male,12,6,28,1234,55,false,false,transportation,pets_animals
This volunteer work at the food bank feels incredibly meaningful,positive,@community_service_volunteer,female,11,17,156,4123,63,false,false,food_drinks,community_social
The movie theater's projection quality was terrible tonight,negative,@film_quality_critic,male,21,9,41,1987,54,false,false,entertainment,food_drinks
My garden's sunflowers grew taller than expected! Nature's surprise 🌻,positive,@flower_garden_enthusiast,female,16,13,123,3456,66,false,false,nature_environment,personal_development
The customer support ignored my emails for three weeks,negative,@support_ticket_waiter,male,14,11,47,2134,54,false,false,shopping_retail,community_social
This cooking experiment with exotic spices turned out amazing,positive,@culinary_adventurer,female,19,10,87,2876,58,false,false,food_drinks,science_research
The delivery truck blocked my driveway for hours today,negative,@residential_access_blocked,male,13,7,33,1345,52,false,false,transportation,shopping_retail
My nephew's art exhibition opening was a huge success! 🎨,positive,@art_family_supporter,female,18,21,189,4567,56,false,false,family_relationships,arts_culture
The grocery store's checkout system crashed during peak hours,negative,@peak_shopping_victim,male,17,12,45,1876,58,false,false,technology,shopping_retail
This yoga instructor helps me find balance in every class,positive,@yoga_practice_devoted,female,8,14,134,3987,55,false,false,health_wellness,education
The parking enforcement officer was unreasonably aggressive today,negative,@parking_citation_receiver,male,11,8,36,1234,60,false,false,transportation,work_business
My dog's obedience training graduation was so rewarding! 🐕,positive,@dog_training_graduate,female,16,18,167,4123,56,false,false,transportation,pets_animals
The internet connection failed right before my presentation,negative,@virtual_meeting_host,male,9,13,51,2134,56,false,false,technology,work_business
This local bakery's croissants are absolutely heavenly,positive,@pastry_connoisseur,female,7,9,78,2345,50,false,false,food_drinks,community_social
The automated phone system transferred me to wrong departments,negative,@phone_maze_navigator,male,14,10,39,1567,59,false,false,technology,arts_culture
My daughter's debate team won the regional championship! 🏆,positive,@debate_team_parent,female,17,24,214,5432,58,false,false,family_relationships,sports_recreation
The restaurant forgot our reservation despite confirmation,negative,@dining_reservation_holder,male,19,8,34,1876,55,false,false,food_drinks,personal_development
This meditation app's sleep stories work like magic,positive,@sleep_improvement_seeker,female,22,15,134,3987,52,false,false,work_business,health_wellness
The grocery delivery arrived with completely wrong items,negative,@online_shopping_disappointed,male,18,9,42,1234,54,false,false,transportation,shopping_retail
My cat's playful antics always brighten my day! 🐱,positive,@feline_entertainment_fan,female,20,12,123,3456,49,false,false,pets_animals,sports_recreation
The construction noise violated the city's quiet hours,negative,@noise_ordinance_defender,male,6,11,46,2134,52,false,false,home_lifestyle,politics_government
This hiking trail's wildflower bloom is absolutely spectacular,positive,@nature_photography_hiker,female,15,16,156,4321,59,false,false,nature_environment,personal_development
The coffee shop's barista was incredibly rude this morning,negative,@coffee_service_critic,male,8,7,32,1345,54,false,false,food_drinks,finance_economy
My son's science fair project impressed all the judges 🔬,positive,@science_education_parent,female,16,19,178,4567,57,false,false,family_relationships,science_research
The parking garage's elevator has been broken for months,negative,@accessibility_concern_citizen,male,13,12,48,1987,58,false,false,transportation,nature_environment
This community garden brings neighbors together beautifully,positive,@neighborhood_unity_advocate,female,11,14,134,3987,57,false,false,nature_environment,community_social
The streaming platform removed my show mid-season,negative,@binge_watching_interrupted,male,21,10,43,1876,49,false,false,entertainment,family_relationships
My daughter's piano recital performance was absolutely perfect 🎹,positive,@musical_education_parent,female,18,22,198,4123,62,false,false,family_relationships,entertainment
The weather app's precipitation forecast was completely wrong,negative,@weather_dependent_planner,male,12,8,35,1234,59,false,false,nature_environment,food_drinks
This volunteer animal shelter work is incredibly rewarding,positive,@animal_welfare_volunteer,female,14,17,156,3456,56,false,false,work_business,community_social
The restaurant's portion control has become ridiculously strict,negative,@value_seeking_diner,male,19,7,31,1567,58,false,false,food_drinks,personal_development
My garden's tomato harvest exceeded all expectations! 🍅,positive,@vegetable_garden_success,female,17,15,145,4321,54,false,false,nature_environment,personal_development
The customer service chatbot couldn't resolve basic issues,negative,@automated_support_frustrated,male,10,9,38,1876,56,false,false,work_business,shopping_retail
This photography club's field trip captured amazing moments,positive,@photography_community_member,female,9,13,123,2876,58,false,false,arts_culture,family_relationships
The grocery store's self-service kiosks were all malfunctioning,negative,@self_checkout_user,male,15,6,29,1234,62,false,false,shopping_retail,community_social
My nephew's graduation ceremony was incredibly moving today 🎓,positive,@family_milestone_celebrant,female,16,26,234,5678,59,false,false,family_relationships,personal_development
The parking meter's payment system rejected all payment methods,negative,@street_parking_user,male,11,5,26,987,61,false,false,transportation,shopping_retail
This local farmers market supports sustainable agriculture practices,positive,@sustainable_food_advocate,female,10,11,89,2543,64,false,false,food_drinks,community_social
The delivery driver left my package at the wrong address,negative,@package_delivery_victim,male,14,8,37,1345,53,false,false,transportation,shopping_retail
My dog's agility training progress has been absolutely amazing! 🐕,positive,@canine_sports_enthusiast,female,18,17,167,4123,62,false,false,transportation,pets_animals
The internet provider's scheduled maintenance lasted much longer,negative,@connectivity_dependent_worker,male,13,12,49,2134,61,false,false,technology,home_lifestyle
This cooking class teaches traditional techniques beautifully,positive,@culinary_tradition_learner,female,19,12,98,2876,56,false,false,food_drinks,technology
The movie theater's sound system distorted dialogue throughout,negative,@audio_quality_critic,male,21,8,36,1567,58,false,false,entertainment,food_drinks
My daughter's art scholarship acceptance letter arrived today! 🎨,positive,@art_education_parent,female,17,28,245,5432,59,false,false,family_relationships,education
